"h.p","h2pq","h.q"
1,0,0
0.9801,0.0198,1e-04
0.9604,0.0392,0.000400000000000001
0.9409,0.0582,0.000900000000000002
0.9216,0.0768000000000001,0.0016
0.9025,0.0950000000000001,0.0025
0.8836,0.1128,0.00360000000000001
0.8649,0.1302,0.00490000000000001
0.8464,0.1472,0.00639999999999999
0.8281,0.1638,0.00809999999999999
0.81,0.18,0.01
0.7921,0.1958,0.0121
0.7744,0.2112,0.0144
0.7569,0.2262,0.0169
0.7396,0.2408,0.0196
0.7225,0.255,0.0225
0.7056,0.2688,0.0256
0.6889,0.2822,0.0289
0.6724,0.2952,0.0324
0.6561,0.3078,0.0361
0.64,0.32,0.04
0.6241,0.3318,0.0441
0.6084,0.3432,0.0484
0.5929,0.3542,0.0529
0.5776,0.3648,0.0576
0.5625,0.375,0.0625
0.5476,0.3848,0.0676
0.5329,0.3942,0.0729
0.5184,0.4032,0.0784
0.5041,0.4118,0.0841
0.49,0.42,0.09
0.4761,0.4278,0.0961
0.4624,0.4352,0.1024
0.4489,0.4422,0.1089
0.4356,0.4488,0.1156
0.4225,0.455,0.1225
0.4096,0.4608,0.1296
0.3969,0.4662,0.1369
0.3844,0.4712,0.1444
0.3721,0.4758,0.1521
0.36,0.48,0.16
0.3481,0.4838,0.1681
0.3364,0.4872,0.1764
0.3249,0.4902,0.1849
0.3136,0.4928,0.1936
0.3025,0.495,0.2025
0.2916,0.4968,0.2116
0.2809,0.4982,0.2209
0.2704,0.4992,0.2304
0.2601,0.4998,0.2401
0.25,0.5,0.25
0.2401,0.4998,0.2601
0.2304,0.4992,0.2704
0.2209,0.4982,0.2809
0.2116,0.4968,0.2916
0.2025,0.495,0.3025
0.1936,0.4928,0.3136
0.1849,0.4902,0.3249
0.1764,0.4872,0.3364
0.1681,0.4838,0.3481
0.16,0.48,0.36
0.1521,0.4758,0.3721
0.1444,0.4712,0.3844
0.1369,0.4662,0.3969
0.1296,0.4608,0.4096
0.1225,0.455,0.4225
0.1156,0.4488,0.4356
0.1089,0.4422,0.4489
0.1024,0.4352,0.4624
0.0961,0.4278,0.4761
0.09,0.42,0.49
0.0841,0.4118,0.5041
0.0784,0.4032,0.5184
0.0729,0.3942,0.5329
0.0676,0.3848,0.5476
0.0625,0.375,0.5625
0.0576,0.3648,0.5776
0.0529,0.3542,0.5929
0.0484,0.3432,0.6084
0.0441,0.3318,0.6241
0.04,0.32,0.64
0.0361,0.3078,0.6561
0.0324,0.2952,0.6724
0.0289,0.2822,0.6889
0.0256,0.2688,0.7056
0.0225,0.255,0.7225
0.0196,0.2408,0.7396
0.0169,0.2262,0.7569
0.0144,0.2112,0.7744
0.0121,0.1958,0.7921
0.01,0.18,0.81
0.00809999999999999,0.1638,0.8281
0.00639999999999999,0.1472,0.8464
0.00489999999999999,0.1302,0.8649
0.00359999999999999,0.1128,0.8836
0.00249999999999999,0.0949999999999999,0.9025
0.0016,0.0768000000000001,0.9216
0.000900000000000002,0.0582,0.9409
0.000400000000000001,0.0392,0.9604
1e-04,0.0198,0.9801
0,0,1
