"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0.3007,0.29505,0.29785,0.2988,0.3001,0.2977,0.30275,0.3036,0.30075,0.30105,0.29915,0.29665,0.29805,0.29875,0.29895,0.2946,0.30225,0.29575,0.2999,0.2952,0.3008,0.30285,0.2949,0.30005,0.29555,0.30525,0.29805,0.29975,0.30665,0.3018,0.3015,0.3001,0.30135,0.299,0.2995,0.3037,0.2998,0.30195,0.303,0.2981,0.2981,0.30075,0.30045,0.2998,0.2965,0.30095,0.3035,0.2958,0.30795,0.2973,0.2988,0.29885,0.3057,0.29785,0.29495,0.3077,0.30125,0.3014,0.29675,0.3001,0.3032,0.2996,0.29935,0.2954,0.30025,0.3014,0.2976,0.2982,0.3028,0.3023,0.2988,0.2962,0.3025,0.29625,0.2971,0.2969,0.29475,0.3024,0.30235,0.3023,0.3004,0.29865,0.29615,0.2967,0.3058,0.30585,0.3002,0.30025,0.30325,0.30215,0.29865,0.30225,0.30075,0.30425,0.30205,0.3006,0.30385,0.30275,0.2976,0.30095
0.3036,0.296,0.29775,0.2979,0.2988,0.2974,0.30625,0.30715,0.2999,0.3038,0.2969,0.2907,0.2968,0.30075,0.2939,0.29465,0.3034,0.29695,0.3006,0.29385,0.30365,0.30115,0.2936,0.29925,0.29835,0.3066,0.2976,0.29625,0.3045,0.30055,0.30065,0.29885,0.3044,0.30465,0.2973,0.29485,0.30075,0.3009,0.29965,0.2969,0.29795,0.29625,0.298,0.3051,0.29555,0.3014,0.29955,0.2934,0.30905,0.3067,0.2923,0.29615,0.3056,0.2971,0.2952,0.30565,0.3057,0.3,0.2967,0.29795,0.30505,0.301,0.30025,0.29005,0.30375,0.29895,0.30315,0.2951,0.29885,0.3011,0.29695,0.2903,0.30085,0.2996,0.299,0.29535,0.29175,0.30245,0.305,0.29915,0.3005,0.2996,0.29755,0.29805,0.29885,0.3077,0.30355,0.3025,0.3018,0.29875,0.29985,0.2967,0.302,0.3003,0.3075,0.30225,0.30305,0.2993,0.28905,0.29755
0.30715,0.2966,0.30695,0.29735,0.29565,0.2959,0.30825,0.30745,0.29935,0.30555,0.29685,0.2847,0.29545,0.29875,0.29085,0.29805,0.30115,0.2955,0.2971,0.2873,0.30325,0.3037,0.28945,0.3022,0.2981,0.3053,0.3022,0.29905,0.31005,0.2998,0.3104,0.30075,0.3037,0.301,0.2983,0.29375,0.3059,0.3,0.3018,0.30215,0.29895,0.2958,0.29135,0.30735,0.29405,0.3049,0.2962,0.2917,0.30585,0.30535,0.29615,0.29855,0.30765,0.29485,0.2992,0.3039,0.31075,0.30085,0.3035,0.29665,0.3023,0.30065,0.3007,0.2888,0.3039,0.2983,0.295,0.2926,0.2973,0.3034,0.2994,0.28945,0.29465,0.303,0.29835,0.2963,0.2957,0.3027,0.304,0.3001,0.2961,0.29965,0.2993,0.3045,0.29665,0.3127,0.30765,0.3074,0.2978,0.29585,0.29995,0.2998,0.2995,0.30015,0.3114,0.3012,0.30405,0.30185,0.2912,0.30165
0.3068,0.29375,0.3019,0.29785,0.29605,0.29275,0.3058,0.3061,0.2993,0.30515,0.29775,0.2843,0.2957,0.30285,0.29155,0.29705,0.30585,0.2941,0.3032,0.2878,0.3006,0.3002,0.2865,0.3054,0.3019,0.3094,0.30075,0.2965,0.30445,0.30135,0.30085,0.2983,0.30375,0.29965,0.3083,0.29795,0.30535,0.2943,0.298,0.3031,0.2965,0.2989,0.2919,0.30655,0.294,0.30365,0.2971,0.2866,0.3039,0.31015,0.29435,0.304,0.3065,0.29035,0.3009,0.3058,0.3116,0.29255,0.30435,0.2988,0.29895,0.2992,0.29975,0.29275,0.3053,0.29445,0.2949,0.28635,0.3002,0.3036,0.3011,0.291,0.29815,0.30145,0.29755,0.30105,0.2993,0.30465,0.30455,0.29875,0.2965,0.29925,0.30205,0.30515,0.2957,0.309,0.3082,0.30745,0.2981,0.2928,0.29905,0.2964,0.2971,0.29525,0.3105,0.3048,0.30975,0.2994,0.2932,0.30265
0.30785,0.29445,0.3031,0.3001,0.2956,0.29185,0.3066,0.30795,0.3049,0.30695,0.3005,0.28565,0.2922,0.3045,0.29045,0.2925,0.30865,0.294,0.3041,0.29205,0.30295,0.30895,0.286,0.3047,0.30345,0.3142,0.3008,0.29235,0.3071,0.3002,0.30125,0.298,0.3029,0.298,0.31325,0.30045,0.30685,0.29945,0.30405,0.2975,0.29275,0.2964,0.2888,0.3096,0.29545,0.304,0.30155,0.288,0.3028,0.3161,0.2932,0.3053,0.306,0.29455,0.3021,0.3019,0.3121,0.2918,0.2969,0.2979,0.2994,0.30075,0.30035,0.2861,0.3058,0.289,0.29425,0.2862,0.29855,0.30415,0.2963,0.29265,0.2995,0.3049,0.3007,0.2987,0.2989,0.3036,0.31225,0.2945,0.29575,0.29865,0.3013,0.3081,0.2916,0.3073,0.30615,0.30955,0.2984,0.2918,0.3041,0.2887,0.2997,0.29305,0.3082,0.3051,0.31005,0.30035,0.2859,0.3076
0.30755,0.2943,0.29805,0.30295,0.29285,0.2902,0.3084,0.309,0.3038,0.30505,0.30465,0.28245,0.2905,0.3043,0.29165,0.29405,0.3076,0.2969,0.3094,0.2922,0.2997,0.3061,0.2837,0.3087,0.2976,0.3136,0.3018,0.29175,0.3108,0.30365,0.3031,0.2971,0.30465,0.2956,0.3153,0.29905,0.30655,0.29645,0.30605,0.29795,0.2966,0.29205,0.2895,0.30745,0.29265,0.30765,0.30125,0.28845,0.29885,0.32015,0.298,0.30715,0.30845,0.30205,0.3021,0.3013,0.314,0.29605,0.29165,0.3005,0.30135,0.29835,0.30225,0.2847,0.3049,0.292,0.2988,0.28555,0.3,0.30545,0.2923,0.2939,0.30215,0.30425,0.30435,0.29685,0.2929,0.3046,0.31065,0.2952,0.2927,0.2962,0.30265,0.31025,0.2921,0.3029,0.30475,0.31315,0.299,0.28775,0.30125,0.2953,0.2982,0.2916,0.3087,0.30415,0.30435,0.2962,0.28115,0.3032
0.30555,0.2998,0.30045,0.30715,0.29745,0.29195,0.3107,0.3097,0.3045,0.30665,0.3053,0.28075,0.28435,0.29955,0.2959,0.29385,0.3106,0.3008,0.31165,0.29065,0.30065,0.3035,0.2844,0.31465,0.29275,0.3124,0.3047,0.2917,0.3159,0.2993,0.3035,0.3,0.30235,0.29315,0.31415,0.305,0.3068,0.29875,0.30495,0.2968,0.2977,0.2981,0.28605,0.30255,0.28795,0.3136,0.304,0.2923,0.29885,0.32095,0.2963,0.30175,0.30635,0.3041,0.30145,0.30005,0.3173,0.293,0.28545,0.30295,0.30045,0.29775,0.2972,0.2915,0.3043,0.29455,0.29775,0.2913,0.29705,0.30855,0.2915,0.2935,0.29295,0.3022,0.30475,0.2965,0.292,0.3011,0.3036,0.2967,0.29565,0.29865,0.3028,0.31155,0.2971,0.3046,0.30375,0.31465,0.30275,0.28815,0.30195,0.2953,0.3005,0.2847,0.3063,0.307,0.3039,0.29725,0.2807,0.30195
0.30345,0.30975,0.30395,0.3058,0.29685,0.2912,0.309,0.3143,0.30115,0.31125,0.30885,0.2756,0.28765,0.2957,0.29385,0.2958,0.31255,0.31025,0.3096,0.293,0.2987,0.30705,0.2852,0.3145,0.29545,0.31025,0.3061,0.29105,0.31485,0.29925,0.3006,0.2983,0.29715,0.2902,0.32095,0.30615,0.30735,0.29595,0.30545,0.29195,0.29885,0.2989,0.2806,0.3082,0.2859,0.31335,0.3025,0.2896,0.29805,0.32105,0.29125,0.30335,0.30885,0.29975,0.3029,0.29865,0.3178,0.29305,0.28815,0.30315,0.2996,0.29995,0.29805,0.29555,0.30645,0.29585,0.3013,0.29155,0.29665,0.317,0.29275,0.2878,0.2863,0.3077,0.30995,0.29005,0.29325,0.2994,0.31125,0.2995,0.29375,0.2992,0.29985,0.3139,0.2969,0.3091,0.30495,0.3168,0.30285,0.2899,0.2995,0.2974,0.3035,0.2834,0.307,0.30485,0.3077,0.2964,0.28835,0.30485
0.30315,0.30595,0.3111,0.3058,0.2918,0.29225,0.30965,0.31295,0.29975,0.30835,0.309,0.27985,0.2939,0.2937,0.298,0.2936,0.31415,0.30915,0.3021,0.2907,0.29705,0.30195,0.2889,0.31915,0.2972,0.31335,0.3124,0.29395,0.31075,0.29825,0.30035,0.30415,0.2924,0.2873,0.3227,0.2999,0.3092,0.2945,0.30475,0.29745,0.29945,0.30365,0.2827,0.30405,0.2823,0.3093,0.29765,0.2898,0.2931,0.3234,0.2879,0.307,0.31135,0.29715,0.2995,0.2971,0.3128,0.2895,0.2891,0.3,0.3076,0.2961,0.29425,0.29985,0.30805,0.29645,0.302,0.29515,0.2941,0.31655,0.2915,0.29235,0.2817,0.3052,0.30855,0.2949,0.28655,0.30275,0.3117,0.2948,0.2904,0.3014,0.30655,0.3102,0.2908,0.30785,0.3063,0.31865,0.30575,0.2884,0.30185,0.29395,0.30595,0.2802,0.30845,0.29885,0.3079,0.2964,0.2839,0.3038
